description,taxonomy_agg_key,source_review_id,reviewer_id,reviewer_name,review_score,master_product_id,content,processed_content,source_product_id,source_id
"Chandon Vintage Brut is a fine elegant sparkling produced from grapes sourced from multiple cool-climate regions, with a slant towards quality Yarra Valley fruit. A reductive, flinty aroma overlays quince, nashi pear, pine nut, citrus blossom and lemon ze",[],2703236,-1,Dan Murphy's Wine Panel,92,4204554,"If you havent been keeping up with Chandon, now is the time to revisit. The 2009 is a stellar wine that has jolted this label back among the pinnacle of Australian Sparklings. Refined delivery of delicate restraint and powerful presence all in one. Toast",,2671564,12
"Chandon Vintage Brut is a fine elegant sparkling produced from grapes sourced from multiple cool-climate regions, with a slant towards quality Yarra Valley fruit. A reductive, flinty aroma overlays quince, nashi pear, pine nut, citrus blossom and lemon ze",[],2703237,17,James Halliday,94,4204554,"Like the Tasmanian Cuvee, has good mousse to its bright straw colour; more than 30 different base wines of Pinot Noir/Pinot Meunier/Chardonnay were blended before bottling using the Traditional Method and spent over two years on lees; the fruit flavours h",,2671564,12
Henschke Mount Edelstone is one of the most important single vineyard sites in Australia. The 90 year old vines has been producing a single vineyard Shiraz since 1952 and is one of Australia's truly great wines. The nose has sweet ripe plum and blueberry,[],2703238,17,James Halliday,98,4204558,"Vivid, deep purple-crimson; this is a blue-blood aristocratic shiraz, certain in its supreme power, length and balance, and not going out to prove anything. If anyone doubts its quality now, the scales will fall from their eyes over the decades ahead, as",,2671568,12
Henschke Mount Edelstone is one of the most important single vineyard sites in Australia. The 90 year old vines has been producing a single vineyard Shiraz since 1952 and is one of Australia's truly great wines. The nose has sweet ripe plum and blueberry,[],2703239,17,James Halliday,95,4204558,"Bright crimson-purple; so perfectly balanced and composed, its latent power may not be realised; black and red cherry fruits at its heart are complexed by lesser notes of plum and blackberry; the tannins are superb, the oak of high quality, and totally in",,2671568,12
Henschke Mount Edelstone is one of the most important single vineyard sites in Australia. The 90 year old vines has been producing a single vineyard Shiraz since 1952 and is one of Australia's truly great wines. The nose has sweet ripe plum and blueberry,[],2703240,17,James Halliday,95,4204558,"Good, strong colour; the cooler climate of the Eden Valley was a godsend in 08, the old vines also doing their share in producing a Mount Edelstone to stand tall with its layers of fruit, nuances of spice and licorice, and excellent ripe tannins.?",,2671568,12
Cockfighter's Ghost wines aim to showcase Australia's best wine regions and the wine styles that epitomise the terroir. This McLaren Vale Shiraz shows all the hallmarks of the region with ripe red fruit characters and a smattering of light spice.,[],2703241,-1,Dan Murphy's Wine Panel,92,4204566,"Attractive aromas of cedar, Asian spice, smoked meats and blueberry. Full-bodied on the palate, it has excellent depth, concentration, and balance.",,2671576,12
Coldstream Hills has been consistently producing excellent Yarra Valley Chardonnay for years and if anything it keeps getting better. Stone fruit and grapefruit characters are supported by creamy nutty oak.,[],2703242,-1,Campbell Mattinson,92,4204568,"Melon, cashew, spicy oak and grapefruit; it flows, refreshes and seduces simultaneously. The key point is the finish which is both racy and fill of (indeed almost spritzy with) flavor.",,2671578,12
Coldstream Hills has been consistently producing excellent Yarra Valley Chardonnay for years and if anything it keeps getting better. Stone fruit and grapefruit characters are supported by creamy nutty oak.,[],2703243,-1,Dan Murphy's Wine Panel,91,4204568,"Creamy, flint; an exciting blend of concentration and drive.",,2671578,12
Coldstream Hills has been consistently producing excellent Yarra Valley Chardonnay for years and if anything it keeps getting better. Stone fruit and grapefruit characters are supported by creamy nutty oak.,[],2703244,-1,Ben Edwards,91,4204568,...fresh cut pear and fine spices the dominant theme; the palate is soft and accessible with enough texture and grip building on the finish to provide a long and harmonious framework.,,2671578,12
Coldstream Hills has been consistently producing excellent Yarra Valley Chardonnay for years and if anything it keeps getting better. Stone fruit and grapefruit characters are supported by creamy nutty oak.,[],2703245,-1,Dan Murphy's Wine Panel,92,4204568,Cool-climate Chardonnay of finesse and underlying power. White nectarine and almond meal. Simply delicious. ,,2671578,12
"Cloudy Bay Chardonnay is a reflection of its sunny origin, expressing intense aromas of peaches, nectarines, aromatic herbs and biscuit. A light entry of stone fruit becomes a slippery mid-palate that re-focuses to an aromatic and mineral finish.",[],2703246,-1,Campbell Mattinson,95,4204569,"What a wild beast this chardonnay is. It’s loaded up with funk and struck matches and yet it’s powerfully fruited too. It’s an outstanding wine in the funkified style. Melon, grapefruit, lime, fennel and smoky flinty notes aplenty. Great persistence. Sati",,2671579,12
"Cloudy Bay Chardonnay is a reflection of its sunny origin, expressing intense aromas of peaches, nectarines, aromatic herbs and biscuit. A light entry of stone fruit becomes a slippery mid-palate that re-focuses to an aromatic and mineral finish.",[],2703247,-1,Dan Murphy's Wine Panel,94,4204569,"Consistently regarded as one of New Zealand's very finest Cloudy Bay Chardonnay, this is an intriguing, textural wine with pure fruit flavours of citrus and stone fruit enhanced by a savoury nuttiness and subtle new oak.",,2671579,12
"Cloudy Bay Chardonnay is a reflection of its sunny origin, expressing intense aromas of peaches, nectarines, aromatic herbs and biscuit. A light entry of stone fruit becomes a slippery mid-palate that re-focuses to an aromatic and mineral finish.",[],2703248,-1,Dan Murphy's Wine Panel,94,4204569,"Nutty, biscuity nose with some ""funky"" wild yeast notes. Typical Mendoza clone concentration on the palate. Flavours mainly in the citrus (grapefruit) spectrum with fig in the background. Natural, unforced complexity.",,2671579,12
"Leeuwin Estate Siblings Sauvignon Blanc Semillon is bright with intense floral, white peach, melow and lime zest and citrus fruits on the nose. Its lifted floral with a finely palate and softe acidic backbone. Very delicate well made wine indeed.",[],2703249,-1,Gary Walsh,92,4204570,"Youthful and vibrant, this release of Siblings maintains the high standard of this benchmark Margaret River blend. The fresh varietal characters of citrus, passionfruit and snow pea flow easily through the long, textured palate.",,2671580,12
Taylors St Andrews Shiraz from the Clare Valley is a classic and is consistently a show-stopper. The bouquet shows rich plum and cherry fruit with earthy spice and the palate is perfectly balanced with soft silky tannins.,[],2703250,-1,Dan Murphy's Wine Panel,94,4204574,Consistently a show-stopping Clare Valley Shiraz. A perfectly balanced wine with a bright bouqet of rich plum and cherry with spicy earth tones. Finished off with lingering flavours of mocha and bitter dark chocolate.,,2671584,12
Taylors St Andrews Shiraz from the Clare Valley is a classic and is consistently a show-stopper. The bouquet shows rich plum and cherry fruit with earthy spice and the palate is perfectly balanced with soft silky tannins.,[],2703251,17,James Halliday,95,4204574,"...a distinguished full-bodied shiraz from a distinguished vintage; blackberry fruit is woven through ripe tannins and quality oak, all three components in great balance.",,2671584,12
"A fresh combination of Chardonnay led citrus and pear fruits underpinned by savoury tones from the Pinot Noir component. This Cloudy Bay Pelorus has characters that reminiscent of grilled bread and brioche. On the palate, deliciously crisp with toasty, cr",[],2703252,-1,Andrew Caillard MW,94,4330923,"Vigorously citrus, ravishingly intense New Zealand stunner.",,2671587,12
"A fresh combination of Chardonnay led citrus and pear fruits underpinned by savoury tones from the Pinot Noir component. This Cloudy Bay Pelorus has characters that reminiscent of grilled bread and brioche. On the palate, deliciously crisp with toasty, cr",[],2703253,-1,Gary Walsh,93,4330923,"....Lots of cracked yeast and bread, white peach and citrus – complexity and intensity here. Full flavoured, briney and high impact, with fine acidity and an attractive bubbly mouth-feel. Has some Champagne character, yet also has individual style and qua",,2671587,12
"A fresh combination of Chardonnay led citrus and pear fruits underpinned by savoury tones from the Pinot Noir component. This Cloudy Bay Pelorus has characters that reminiscent of grilled bread and brioche. On the palate, deliciously crisp with toasty, cr",[],2703254,-1,Dan Murphy's Wine Panel,93,4330923,"Delicious full-flavoured style with toasty, yeasty Chardonnay fruit... long, soft, creamy palate with good mousse, weight and structure.",,2671587,12
"A fresh combination of Chardonnay led citrus and pear fruits underpinned by savoury tones from the Pinot Noir component. This Cloudy Bay Pelorus has characters that reminiscent of grilled bread and brioche. On the palate, deliciously crisp with toasty, cr",[],2703255,-1,Tyson Stelzer,92,4330923,"...uniting the layered, biscuity complexity of a little old barrel fermentation, up to two years on lees and a deep resource of reserve wines, with a core of lemon, pear and golden delicious apple fruit and a taut tail of tense acidity. A low dosage of 7.",,2671587,12
"Petaluma Croser is one of the true premium quality sparklings produced in Australia. This Croser is subtle and refined on the nose and supported by lovely melony fruit on the palate and a clean crisp finish. Sourced from fruit high in the Adelaide Hills,",[],2703256,-1,Tyson Stelzer,93,4204578,"A creamy and complex Petaluma that preserves the dynamic verve of a cool Adelaide Hills season in partial malic acidity, emphasised by low dosage of 7g/l. Creamy texture and seamless integration are achieved through half fermented in old oak barriques, fo",,2671589,12
"Petaluma Croser is one of the true premium quality sparklings produced in Australia. This Croser is subtle and refined on the nose and supported by lovely melony fruit on the palate and a clean crisp finish. Sourced from fruit high in the Adelaide Hills,",[],2703257,17,James Halliday,94,4204578,"A 67/33% blend; very pale straw-green, and as crisp, tightly structured and textured as is expected from this wine. It will develop another leg with further time on cork.",,2671589,12
"Petaluma Croser is one of the true premium quality sparklings produced in Australia. This Croser is subtle and refined on the nose and supported by lovely melony fruit on the palate and a clean crisp finish. Sourced from fruit high in the Adelaide Hills,",[],2703258,-1,Dan Murphy's Wine Panel,90,4204578,Brian Croser's position at the forefront of innovation is resposible for class here.,,2671589,12
"Petaluma Croser is one of the true premium quality sparklings produced in Australia. This Croser is subtle and refined on the nose and supported by lovely melony fruit on the palate and a clean crisp finish. Sourced from fruit high in the Adelaide Hills,",[],2703259,17,James Halliday,93,4204578,"A 62/38% blend; notwithstanding the pinot noir dominance, the colour is bright straw-green; the relatively short period on tirage has resulted in a bracingly crisp and fresh wine, with all of the expected length, but not the complexity that further time o",,2671589,12
De Bortoli is one of the Yarra Valley's finest producers and this Pinot is one of the reasons why! This stylish medium bodied wine exhibits flavours of cherry plum and spices with a lingering finish.,[],2703260,-1,Dan Murphy's Wine Panel,94,4204581,"Loads of plum, earth, rigid tannins with guding silk. SO fresh, vibrant and refreshing; so much energy. the darker fruits here are brooding and building, but at the core there's a premium Pinot vibe that livens up the room. Immensely satisfying.",,2671592,12
De Bortoli is one of the Yarra Valley's finest producers and this Pinot is one of the reasons why! This stylish medium bodied wine exhibits flavours of cherry plum and spices with a lingering finish.,[],2703261,17,James Halliday,93,4204581,"The grapes come from mature vineyards at Dixons Creek, Yarra Glen, Tarrawarra and Woori Yallock, each vineyard hand-picked, the grapes fermented separately before maturation in new and used oak for 10 months. A rich and satisfying pinot noir, full of plum",,2671592,12
De Bortoli is one of the Yarra Valley's finest producers and this Pinot is one of the reasons why! This stylish medium bodied wine exhibits flavours of cherry plum and spices with a lingering finish.,[],2703262,-1,Gary Walsh,91,4204581,Tasted this in early February (89 points) but it's fleshed out over the past few months. It still really needs to be decanted to get anywhere near the best from it - it unfurls given time to breathe. I'm now happy to call it a super release. It tastes of,,2671592,12
"Deep blood plum colour. Aromas of plums, nutmeg and anise/liquorice with vanilla undertones. Plum and dark berries on the palate: chocolate and vanilla in the background. An interplay of fine oak flavours and Shiraz fruit to finish. Refined and balanced.",[],2703263,17,James Halliday,94,4204589,"... derives its power from fruit rather than tannins or oak, with black fruits, licorice and leather running from the bouquet to the finish of the palate.",,2671600,12
"Australia's oldest family owned winery, Yalumba produce a quintessential Barossa Shiraz here with the Octavius. Refined and elegant, its full of incredible fruit complexity that never looks over-ripe or jammy. A true Australian classic.",[],2703264,-1,Dan Murphys Wine Panel,95,4204590,This is a wine that needs hours to find its groove but does so with that supple luxury to texture that keeps the believers' hearts fluttering.,,2671601,12
Sourced from several different vineyard sites in McLaren Vale this is a deeply flavoured Shiraz with wonderful regional character. Rich and powerful with velvety tannins it will cellar superbly.,[],2703265,-1,Tony Love,94,4204592,In true McLaren Vale fashion thereâ€™s a great dark fruit and spice line through and through this wine thatâ€™s an extra joy.,,2671603,12
Sourced from several different vineyard sites in McLaren Vale this is a deeply flavoured Shiraz with wonderful regional character. Rich and powerful with velvety tannins it will cellar superbly.,[],2703266,-1,Campbell Mattinson,91,4204592,"Very tidy release from Kangarilla Road. I d drink it young but it certainly has the stuffing to take some bottle age. It s just that it s in a lovely place as a youngster. It tastes of chocolate and licorice, toasty oak and blackberries. It has a savoury,",,2671603,12
Victoria's first vineyard is a landmark in the Yarra Valley and an icon of the Australian wine industry. Loads of lovely Pinot character on the nose with ripe cherry gamey notes and hints of 'forest floor'. Silky in texture the lingering flavour is enhanc,[],2703267,-1,Campbell Mattinson,94,4204593,"I tasted this earlier this year and liked it a lot; I like it even more now. It’s become more undergrowthy, more complex. It’s light in colour but awash with morello cherry and twiggy spice notes, a seasoning of sweet/cedary oak playing amicably with the",,2671604,12
Victoria's first vineyard is a landmark in the Yarra Valley and an icon of the Australian wine industry. Loads of lovely Pinot character on the nose with ripe cherry gamey notes and hints of 'forest floor'. Silky in texture the lingering flavour is enhanc,[],2703268,17,James Halliday,95,4204593,"Never judge a pinot noir by its (lack of) colour is an old saying, never truer than here. While the colour is, if anything, even lighter than the Village, and the wine barely medium-bodied, it has beautiful focus, line and length to its assemblage of smal",,2671604,12
Victoria's first vineyard is a landmark in the Yarra Valley and an icon of the Australian wine industry. Loads of lovely Pinot character on the nose with ripe cherry gamey notes and hints of 'forest floor'. Silky in texture the lingering flavour is enhanc,[],2703269,-1,Campbell Mattinson,93,4204593,"The firm hand of savoury-styled pinot noir. This is light (in colour) but powerful. Its not sweet or especially fruity-filled but it makes its presence known. Musk, twigs, Italian herbs, soy, cranberry and then ripe cherry. Musk, perhaps. A wine of integ",,2671604,12
Victoria's first vineyard is a landmark in the Yarra Valley and an icon of the Australian wine industry. Loads of lovely Pinot character on the nose with ripe cherry gamey notes and hints of 'forest floor'. Silky in texture the lingering flavour is enhanc,[],2703270,-1,Campbell Mattinson,92,4204593,"Yering Station has grown up, returning to the heyday of its heady era of pinot noir glory with more delicacy of gorgeous rose petal, violet and cherry kernel perfume than ever. Whole bunch fermentation is masterfully controlled, slipping into a silky gown",,2671604,12
"Pascal Jolivet is an authority when it comes to beautiful, crisp and refreshing Sauvignon Blanc from its ancestral home. Wild ferment and no added yeast, Pascal Jolivet is elegant, powerful and balanced. Characters of wet slate the unique profile of gun f",[],2703271,-1,James Molesworth,90,4204594,"A bony and mouth-watering style, with lots of flint framing the lime, chive and fleur de sel notes. Shows great cut on the finish.",,2671605,12
"A lovely aperitif style, with lifted honeysuckle and citrus from the Chardonnay and delicate strawberry Pinot characters. Tirage age of this Jansz Premium Cuvée adds nutty complexity and creamy texture.",[],2703272,-1,Tyson Stelzer,91,4204595,Chardonnay dominance explains lemon zest and fresh lemon juice notes; honey and roast nuts from extended ageing on yeast lees; minerality counters sweetness on the finish.,,2671606,12
"This famous label is what many regard as their first foray into the seductive world that is Clare Valley Riesling. A classic style, it shows citrus aromas with floral notes. The palate is crisp and dry with lime and honey flavours which will develop with",[],2703273,-1,Dan Murphy's Wine Panel,92,4204596,"Perfectly pitched Clare Valley Riesling; piercing lemon/lime juice flavours, talc, riding a finely honed acid line. Really good focus; great for now, and will also appreciate another few years to show even more.",,2671607,12
"The Bond Road Chardonnay by Hollick from Coonawarra is an attractive wine, with peach blossom and nectarine wrapped up in fine quality oak.",[],2703274,17,James Halliday,93,4204599,"Ambiguously '8 months partial barrel fermentation in new French oak'. Whatever that means, the wine has good balance, length and mouthfeel, with clear-cut stone fruit flavours, the oak subtle and well integrated.",,2671610,12
"The Bond Road Chardonnay by Hollick from Coonawarra is an attractive wine, with peach blossom and nectarine wrapped up in fine quality oak.",[],2703275,-1,Gary Walsh,91,4204599,"Clove spice oak, lime, savoury barrel work. Full bodied with plenty of flavour - almost lime marmalade, tingly citrus and nectarine. It's not the most subtle of wines, but it does have good balance, and a long spicy finish.",,2671610,12
"A brilliant pale gold with green hue in colour, this Bethany Chardonnay has an attractive aroma and palate of citrus and honey characters. Full and rich in style. It drinks well now and will develop complexity with age.",[],2703276,-1,Dan Murphy's Wine Panel,90,4204600,"A delicious blend of Barossa Valley and Eden Valley grapes, with ripe stone fruit and tropical fruit flavours and a touch of oak seasoning.",,2671611,12
"There is no doubting the quality of Northern Tassie Pinot. This is a fine example from the Tamar Valley has elegance, length and varietal flavours of plum and cherry balanced by a touch of oak and light astringency.",[],2703277,-1,Dan Murphy's Wine Panel,92,4204604,"A fuller-bodied, structured Pinot Noir that deserves quality French inspired food such as roast duck. Pour into a large decanter and let it breathe, or cellar confidently for 3-5 years. Dark plum and Asian spices.'",,2671615,12
Adelaide Hills vineyards were selected to accentuate the citrus and melon notes in the wine to match the natural acid and tropical flavours. A well credentialled wine that bursts with flavour.,[],2703278,-1,Dan Murphy's Wine Panel,90,4204605,"Sauvignon Blanc at its truest; gooseberry, summer tropicals guava, passionfruit. Loads of delicious fruits driving full throttle through each mouthful. Set to be very popular.",,2671616,12
Adelaide Hills vineyards were selected to accentuate the citrus and melon notes in the wine to match the natural acid and tropical flavours. A well credentialled wine that bursts with flavour.,[],2703279,-1,Dan Murphy's Wine Panel,91,4204605,"A welcome rush of chilling acidity brings a real poise and structural richness here, focussing the fruit flavours to tighter citrus, nashi pear, guava and mineral-lined tropicals. A lot more refreshing than the everyday, and a very good wine.",,2671616,12
Adelaide Hills vineyards were selected to accentuate the citrus and melon notes in the wine to match the natural acid and tropical flavours. A well credentialled wine that bursts with flavour.,[],2703280,-1,Gary Walsh,92,4204605,"...passionfruit, kiwifruit, guava, nettles and spice. An excellent blend of tropical and the herbal... crisp and fresh with goosberry, passionfruit, grapefruit",,2671616,12
Adelaide Hills vineyards were selected to accentuate the citrus and melon notes in the wine to match the natural acid and tropical flavours. A well credentialled wine that bursts with flavour.,[],2703281,-1,Quartz-white; aromas of kiwi fruit and herb lead into a well-ba,91,4204605,"",,2671616,12
Frankland Estate's Isolation Ridge Chardonnay is jam packed full of barrel ferment funkiness and rich textures. Fruit flavours of nectarine and touch of liquorice. Elegant and finely balanced acid show all through the palate with seamless integration. A s,[],2703282,17,James Halliday,90,4204607,Medium straw-green; fashioned from organically gown estate fruit; the barrel ferment and nutty oak contributions are just a little too obvious given the delicacy of the varietal fruit underneath. That is a carping criticism of what is a good wine overall.,,2671618,12
Frankland Estate's Isolation Ridge Chardonnay is jam packed full of barrel ferment funkiness and rich textures. Fruit flavours of nectarine and touch of liquorice. Elegant and finely balanced acid show all through the palate with seamless integration. A s,[],2703283,-1,Lisa Perotti-Brown MW,90,4204607,"Barrel fermented and aged for 9-10 months with little or no malo-lactic, the 2011 Isolation Ridge Chardonnay gives a very good intensity of ripe nectarine, apricot and toast aromas over roasted almonds, cedar and butterscotch. Light to medium-bodied, it h",,2671618,12
Frankland Estate's Isolation Ridge Chardonnay is jam packed full of barrel ferment funkiness and rich textures. Fruit flavours of nectarine and touch of liquorice. Elegant and finely balanced acid show all through the palate with seamless integration. A s,[],2703284,-1,Gary Walsh,93,4204607,"More Good Chardonnay from Great Southern. Stonefruit, grapefruit with a lick of dusty spicy oak - it's gentle and inviting. A modern style with an appealingly light flinty texture, subtle fresh pineapple flavours - though mainly to citrus - and a dry spic",,2671618,12
Distinct cool climate minerality with aromas of stone fruit and lime. A super fresh Riesling with delightful elegance. Will blossom with time.,[],2703285,17,James Halliday,96,4204609,"This riesling has an utterly beguiling combination of flavour and delicacy, which in turn translates into balance and intensity as you are drawn back again and again to the lime and lemon fruit; crisp, minerally acidity lengthens the finish and aftertaste",,2671620,12
Distinct cool climate minerality with aromas of stone fruit and lime. A super fresh Riesling with delightful elegance. Will blossom with time.,[],2703286,17,James Halliday,97,4204609,"Stephen Henschke believes this is (arguably) the most complete Green's Hill Riesling made since the vines were planted almost 30 years ago. It has glorious aromatics and an envelope of citrus and apple fruit, but it is the almost explosive aftertaste buil",,2671620,12
"Cloudy Bay has produced a Sauvignon Blanc of vibrant intensity. The characteristically uplifting aromas of kaffir lime, lemon zest  and nectarine, with the floral notes of orange blossom on the nose;  A weighty texture of ripe citrus and stone fruit flavo",[],2703287,-1,Dan Murphy's Wine Panel,97,4204614,"A worthy 30th anniversary release of this global icon. Kaffir lime leaf and grapefruit-like aromas leap from the glass. The palate is generous with ripe citrus, stone fruit and lemongrass flavours balanced by crunchy acidity.",,2671625,12
"Cloudy Bay has produced a Sauvignon Blanc of vibrant intensity. The characteristically uplifting aromas of kaffir lime, lemon zest  and nectarine, with the floral notes of orange blossom on the nose;  A weighty texture of ripe citrus and stone fruit flavo",[],2703288,-1,Dan Murphy's Wine Panel,94,4204614,"The 2014 is one of the classically superb Cloudy Bay Sauvignon Blancs; alive with freshly cut snow peas, feijoa, gooseberry, garden herbs and a hint of grilled cashew. Some wet stone minerals and a lick of spice to finish the picture. Deliciously understa",,2671625,12
"Cloudy Bay has produced a Sauvignon Blanc of vibrant intensity. The characteristically uplifting aromas of kaffir lime, lemon zest  and nectarine, with the floral notes of orange blossom on the nose;  A weighty texture of ripe citrus and stone fruit flavo",[],2703289,-1,Lisa Perrotti-Brown,90,4204614,"The 2014 Sauvignon Blanc Marlborough is intensely scented of gooseberries, elderflower and fresh lemon with hints of white asparagus and sage. Medium-bodied, it fills the mouth with vibrant vegetal and citrus notes held up by a lively acid backbone and go",,2671625,12
"Cloudy Bay has produced a Sauvignon Blanc of vibrant intensity. The characteristically uplifting aromas of kaffir lime, lemon zest  and nectarine, with the floral notes of orange blossom on the nose;  A weighty texture of ripe citrus and stone fruit flavo",[],2703290,-1,Tyson Stelzer,94,4204614,"New Zealand s most famous sauvignon remains on form and 2013 is one of the greats. A mild harvest allowed for ideal ripening, with generous fruit sweetness finding a natural balance with a very low level of residual sweetness (2g/L). The result is an even",,2671625,12
"Leconfield Merlot has big and juicy dark fruits, soft tannins all supported by lovely French oak. Paul Gordon continues to produce a serious Merlot for a great price, year in, year out. His Merlot is also one that will benefit from a little sit in the med",[],2703291,17,James Halliday,94,4204618,"Leconfield has one of the most consistent merlots around, and this does not disappoint. Cassis, mulberry and a touch of black olive come together on the elegant, medium-bodied palate, fine tannins and integrated French oak neatly judged. The persistence o",,2671629,12
"Leconfield Merlot has big and juicy dark fruits, soft tannins all supported by lovely French oak. Paul Gordon continues to produce a serious Merlot for a great price, year in, year out. His Merlot is also one that will benefit from a little sit in the med",[],2703292,-1,Gary Walsh,90,4204618,"Shiraz and Pinot Noir show their hands earlier than do the Bordeaux family of grapes; these wines can be a little harder to read so young.Raspberry, almost to cordial, redcurrant, cedar oak, some mint and black olive. Some youthful char. Medium bodied, sw",,2671629,12
"Leconfield Merlot has big and juicy dark fruits, soft tannins all supported by lovely French oak. Paul Gordon continues to produce a serious Merlot for a great price, year in, year out. His Merlot is also one that will benefit from a little sit in the med",[],2703293,-1,Dan Murphy's Wine Panel,94,4204618,"Good Australian Merlots are an all too rare commodity. When we come across a gem like this we pounce. The palate is flooded with blackcurrant, plum and spice supported by integrated cedary oak and structured tannins.",,2671629,12
"Leconfield Merlot has big and juicy dark fruits, soft tannins all supported by lovely French oak. Paul Gordon continues to produce a serious Merlot for a great price, year in, year out. His Merlot is also one that will benefit from a little sit in the med",[],2703294,-1,Gary Walsh,90,4204618,A little green tobacco adds a pleasant edge to the ripe plum fruit with vanilla and spiced nut oak playing a supporting role. More or less medium bodied with grainy tannins forming a silky sort of mesh (if that makes sense) along with manageable levels of,,2671629,12
"Peter Lehmann is able to capture the soft and elegant side of the Barossa Valley with all its diversity and quality of landscapes within this magnificent wine, the 8 Songs Shiraz. Born out of Peter Lehmann's love of art and music, this award winning wine",[],2703295,-1,Campbell Mattinson,92,4204619,"...This wine is in the groove, it’s faultless, the delivery of blackberried fruit flavour is immaculate. Whether or not there’s enough X factor; I guess that’s a personal thing. Smooth blackberries, cloves, leather, boot polish, a smudge of chocolate. Oak",,2671630,12
